Alligator mississippiensis
Allocyttus niger
Allenopithecus nigroviridis
Allograpta obliqua
Allenrolfea occidentalis
Allagelena opulenta
Alliaria petiolata
Allium porrum
Alluaudia procera
Allium sativum
Alloispermum scabrifolium
Allium schoenoprasum
Alloteropsis semialata
Alligator sinensis
Alloteuthis subulata
Allobates talamancae
Allium textile
Allosyncarpia ternata
Allocebus trichotis
Allium tuberosum
Allium ursinum
Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D)
Allochromatium vinosum
Allpahuayo mammarenavirus (isolate Rat/Peru/CLHP-2472/1997)
Allochromatium warmingii
Alloxylon wickhamii
Alnus glutinosa
Alnus incana
Alnus maritima
Alnus viridis subsp. crispa
Alnus viridis
Alopochen aegyptiaca
Alopoglossus angulatus
Aloe arborescens
Alouatta belzebul
Alouatta caraya
Aloe ferox
Aloe glauca
Alouatta guariba
Alopecoenas jobiensis
Alocasia macrorrhizos
Aloe maculata
Alonsoa meridionalis
Alopecurus myosuroides
Alouatta palliata
Alouatta pigra
Alopecurus pratensis
Alouatta sara
Alouatta seniculus
Alosa sapidissima
Alonsoa unilabiata
Alophia veracruzana
Aloe vera
Alopias vulpinus
Alpheus angulosus
Alpheus armillatus
Alpheus bouvieri
Alpinia calcarata
Alpheus colombiensis
Alpheus cristulifrons
Alpheus cylindricus
Alphitobius diaperinus
Alpheus digitalis
